吳焜裕,民主進步黨,新任，第一次當選
吳玉琴,民主進步黨,新任，第一次當選
陳曼麗,民主進步黨,新任，第一次當選
顧立雄,民主進步黨,新任，第一次當選
蔡培慧,民主進步黨,新任，第一次當選
王榮璋,民主進步黨,新任，第二次當選
谷辣斯‧尤達卡^Kolas Yotaka,民主進步黨,新任，第一次當選
余宛如,民主進步黨,新任，第一次當選
蘇嘉全,民主進步黨,新任，第三次當選
段宜康,民主進步黨,連任，第三次當選
鄭麗君,民主進步黨,連任，第二次當選
陳其邁,民主進步黨,連任，第五次當選
尤美女,民主進步黨,連任，第二次當選
李應元,民主進步黨,連任，第四次當選
鍾孔炤,民主進步黨,新任，第一次當選
林靜儀,民主進步黨,新任，第一次當選
徐國勇,民主進步黨,新任，第二次當選
周春米,民主進步黨,新任，第一次當選
王金平,中國國民黨,連任，第十三次當選
柯志恩,中國國民黨,新任，第一次當選
陳宜民,中國國民黨,新任，第一次當選
林麗蟬,中國國民黨,新任，第一次當選
許毓仁,中國國民黨,新任，第一次當選
曾銘宗,中國國民黨,新任，第一次當選
黃昭順,中國國民黨,連任，第八次當選
吳志揚,中國國民黨,新任，第三次當選
張麗善,中國國民黨,新任，第二次當選
徐榛蔚,中國國民黨,新任，第一次當選
王育敏,中國國民黨,連任，第二次當選
李鴻鈞,親民黨,連任，第五次當選
陳怡潔,親民黨,連任，第二次當選
周陳秀霞,親民黨,新任，第一次當選
高潞．以用．巴魕剌^Kawlo．Iyun．Pacidal,時代力量,新任，第一次當選
徐永明,時代力量,新任，第一次當選
